,S/N,Joined Proctor on,Bootcamp,Score,% Score,% Completed,M1-S1 Correct,M1-S1 Wrong,M1-S1 Tries,M1-S2 Tries,M2-S1 Correct,M2-S1 Wrong,M2-S1 Tries,M2-S2 Tries,M3-S1 Correct,M3-S1 Wrong,M3-S1 Tries,M3-S2 Tries,M4-S1 Correct,M4-S1 Wrong,M4-S1 Tries,M4-S2 Tries,M5-S1 Correct,M5-S1 Wrong,M5-S1 Tries,M5-S2 Tries,M6-S1 Correct,M6-S1 Wrong,M6-S1 Tries,M6-S2 Tries,M7-S1 Correct,M7-S1 Wrong,M7-S1 Tries,M7-S2 Tries,M8-S1 Correct,M8-S1 Wrong,M8-S1 Tries,M8-S2 Tries,M9-S1 Correct,M9-S1 Wrong,M9-S1 Tries,M9-S2 Tries,M10-S1 Correct,M10-S1 Wrong,M10-S1 Tries,M10-S2 Tries
200,3308,2015-12-29,0,184,0.92,100,6,0,0,0,7,3,3,0,0,0,0,1,13,3,3,1,4,0,0,1,3,1,0,1,6,0,0,0,10,0,0,0,18,1,1,0,40,3,3,1
201,3312,2015-12-29,0,179,0.895,100,6,0,0,0,9,1,1,0,0,2,2,1,12,4,4,1,4,0,0,1,4,0,0,1,6,0,0,0,7,3,3,0,16,3,3,0,40,3,3,1
202,3313,2015-12-29,0,187,0.935,100,5,1,1,0,9,1,1,0,0,1,1,1,15,1,1,1,4,0,0,1,4,0,0,1,5,1,1,0,9,1,1,0,18,1,1,0,42,1,1,1
203,3314,2015-12-29,1,183,0.915,100,6,0,0,0,9,1,1,0,0,2,2,1,16,0,0,2,4,0,0,4,4,0,0,1,4,2,2,0,8,2,2,0,19,0,0,0,42,1,1,1
204,3315,2015-12-29,0,172,0.86,100,4,2,2,0,7,3,3,0,0,2,2,1,15,1,1,1,4,0,0,1,4,0,0,1,3,3,3,0,6,4,4,0,18,1,1,0,36,7,7,1
205,3316,2015-12-29,0,173,0.865,100,6,0,0,0,9,1,1,0,0,3,3,1,16,0,0,1,4,0,0,2,4,0,0,1,3,3,3,0,7,3,3,0,17,2,2,0,34,9,9,1
206,3318,2015-12-29,0,182,0.91,100,6,0,0,0,6,4,4,0,0,0,0,1,14,2,2,1,4,0,0,2,4,0,0,1,6,0,0,0,9,1,1,0,19,0,0,0,38,5,5,1
207,3321,2015-12-29,0,179,0.895,100,4,2,2,0,9,1,1,0,0,1,1,1,15,1,1,1,4,0,0,1,4,0,0,1,4,2,2,0,8,2,2,0,17,2,2,0,38,5,5,1
208,3322,2015-12-29,0,159,0.795,100,5,1,1,0,6,4,4,0,0,2,2,1,13,3,3,1,4,0,0,12,3,1,0,1,5,1,1,0,7,3,3,0,18,1,1,0,34,9,9,1
209,3325,2015-12-29,0,177,0.885,100,6,0,0,0,6,4,4,0,0,2,2,1,13,3,3,1,3,1,1,1,2,2,0,1,5,1,1,0,10,0,0,0,18,1,1,0,40,3,3,2
